GW1.24H_LASKIN_T,,Sub,station,GW1,24H,calculator,time,program,,,,,,,,,
GW1.HA10_VM_KV_K,,Sub,station,GW1,apartment,number,10,water,meter,cold,water,time,,,,,
GW1.HA10_VM_KV_KAM,,Sub,station,GW1,apartment,number,10,water,meter,cold,water,KAM,,,,,
GW1.HA10_VM_LV_K,,Sub,station,GW1,apartment,number,10,water,meter,heat,exchanger,time,,,,,
GW1.HA10_VM_LV_KAM,,Sub,station,GW1,apartment,number,10,water,meter,heat,exchanger,KAM,,,,,
GW1.HA11_AS_TE_AH_FM,,Sub,station,GW1,apartment,number,11,deflected,setpoint,temperature,measurement,room,fictional,point,measurement,,
GW1.HA11_AS_TE_KH_FM,,Sub,station,GW1,apartment,number,11,deflected,setpoint,temperature,measurement,bathroom,fictional,point,measurement,,
GW1.HA11_IMS15_A,,Sub,station,GW1,apartment,number,11,air,flow,controller,15,control,point,,,,
GW1.HA11_IMS15_AS_M,,Sub,station,GW1,apartment,number,11,air,flow,controller,15,deflected,setpoint,measurement,,,
GW1.HA11_IMS15_M,,Sub,station,GW1,apartment,number,11,air,flow,controller,15,measurement,,,,,
GW1.HA11_IMS17_A,,Sub,station,GW1,apartment,number,11,air,flow,controller,17,control,point,,,,
GW1.HA11_IMS17_AS_M,,Sub,station,GW1,apartment,number,11,air,flow,controller,17,deflected,setpoint,measurement,,,
GW1.HA11_IMS17_FA,,Sub,station,GW1,apartment,number,11,air,flow,controller,17,fictional,point,alarm,,,
GW1.HA11_IMS17_M,,Sub,station,GW1,apartment,number,11,air,flow,controller,17,measurement,,,,,
GW1.HA11_JAAH_ASETUS_AH1_FM,,Sub,station,GW1,apartment,number,11,cooling,set,point,room,1,fictional,point,measurement,,
GW1.HA11_JAAH_ASETUS_KH_FM,,Sub,station,GW1,apartment,number,11,cooling,set,point,bathroom,fictional,point,measurement,,,
GW1.HA11_JAAHDYTYS_AH1_A,,Sub,station,GW1,apartment,number,11,cooling,room,1,control,point,,,,,
GW1.HA11_JAAHDYTYS_KH_A,,Sub,station,GW1,apartment,number,11,cooling,bathroom,control,point,,,,,,
GW1.HA11_KUIVATUS_KH_A,,Sub,station,GW1,apartment,number,11,drying,bathroom,control,point,,,,,,
GW1.HA11_LAMM_ASETUS_AH1_FM,,Sub,station,GW1,apartment,number,11,heating,set,point,room,1,fictional,point,measurement,,
GW1.HA11_LAMM_ASETUS_KH_FM,,Sub,station,GW1,apartment,number,11,heating,set,point,bathroom,fictional,point,measurement,,,
GW1.HA11_ME16_KH_ARH,,Sub,station,GW1,apartment,number,11,electronic,humidity,sensor,16,bathroom,low,limit,alarm,,
